12.58,-0.07,0.11,9.98,0.01,-0.00,-0.00,
12.59,-0.08,0.12,9.97,0.01,-0.00,-0.00,
12.60,-0.06,0.14,9.95,0.01,-0.00,-0.00,
12.61,-0.06,0.13,9.97,0.01,0.00,-0.00,
12.62,-0.08,0.13,9.95,0.01,0.00,-0.00,
12.63,-0.06,0.12,9.94,0.01,0.00,-0.00,
12.64,-0.06,0.12,9.99,0.01,0.00,-0.00,
12.65,-0.08,0.14,9.97,0.01,-0.00,-0.00,
12.66,-0.06,0.13,9.96,0.01,0.00,-0.00,
12.67,-0.07,0.13,9.97,0.01,0.00,-0.00,
12.68,-0.05,0.12,9.97,0.01,0.00,-0.00,
12.69,-0.07,0.13,9.96,0.01,0.00,-0.00,
12.70,-0.06,0.14,9.94,0.01,0.00,-0.00,
12.71,-0.07,0.13,9.96,0.01,-0.00,-0.00,
12.72,-0.04,0.11,9.95,0.01,-0.00,-0.00,
12.73,-0.05,0.12,9.93,0.01,0.00,-0.00,
12.74,-0.06,0.14,9.97,0.01,0.00,-0.00,
12.75,-0.08,0.11,9.95,0.01,0.00,-0.00,
12.76,-0.07,0.12,9.96,0.01,0.00,-0.00,
12.77,-0.08,0.11,9.93,0.01,0.00,-0.00,
12.78,-0.07,0.11,9.95,0.01,0.00,-0.00,
12.79,-0.08,0.13,9.93,0.01,0.00,-0.00,
12.80,-0.06,0.12,9.96,0.01,0.00,-0.00,
12.81,-0.08,0.13,9.94,0.01,0.00,-0.00,
12.82,-0.08,0.10,9.95,0.01,-0.00,-0.00,
12.83,-0.07,0.11,9.93,0.01,0.00,-0.00,
12.84,-0.07,0.12,9.97,0.01,0.00,-0.00,
12.85,-0.08,0.13,9.94,0.01,-0.00,-0.00,
12.86,-0.05,0.11,9.93,0.01,0.00,-0.00,
12.87,-0.06,0.14,9.96,0.01,0.00,-0.00,
12.88,-0.07,0.13,9.96,0.01,0.00,-0.00,
12.89,-0.06,0.14,9.97,0.01,0.00,-0.00,
12.90,-0.07,0.10,9.95,0.01,0.00,-0.00,
12.91,-0.05,0.12,9.97,0.01,0.00,-0.00,
12.92,-0.06,0.15,9.96,0.01,0.00,-0.00,
12.93,-0.08,0.12,9.95,0.01,0.00,-0.00,
12.94,-0.08,0.11,9.96,0.01,0.00,-0.00,
12.95,-0.07,0.10,9.95,0.01,0.00,-0.00,
12.96,-0.06,0.11,9.96,0.01,0.00,-0.00,
12.97,-0.07,0.12,9.96,0.01,0.00,-0.00,
12.98,-0.07,0.12,9.95,0.01,0.00,-0.00,
12.99,-0.07,0.11,9.95,0.01,0.00,-0.00,
13.00,-0.07,0.12,9.95,0.01,0.00,-0.00,
13.01,-0.07,0.12,9.94,0.01,0.00,-0.00,
13.02,-0.07,0.13,9.95,0.01,-0.00,-0.00,
13.03,-0.05,0.10,9.92,0.01,0.00,-0.00,
13.04,-0.07,0.13,9.98,0.01,0.00,-0.00,
13.05,-0.04,0.11,9.93,0.01,0.00,-0.00,
13.06,-0.07,0.11,9.94,0.01,0.00,-0.00,
13.07,-0.07,0.11,9.95,0.01,0.00,-0.00,
13.08,-0.06,0.13,9.93,0.01,0.00,-0.00,
13.09,-0.08,0.12,9.95,0.01,-0.00,-0.00,
13.10,-0.09,0.12,9.95,0.01,-0.00,-0.00,
13.11,-0.07,0.11,9.98,0.01,-0.00,-0.00,
13.12,-0.07,0.11,9.97,0.01,0.00,-0.00,
13.13,-0.08,0.13,9.95,0.01,0.00,-0.00,
13.14,-0.06,0.12,9.95,0.01,0.00,-0.00,
13.15,-0.07,0.11,9.96,0.01,0.00,-0.00,
13.16,-0.07,0.12,9.96,0.01,0.00,-0.00,
13.17,-0.08,0.13,9.98,0.01,0.00,-0.00,
13.18,-0.07,0.12,9.95,0.01,-0.00,-0.00,
13.19,-0.06,0.12,9.94,0.01,0.00,-0.00,
13.20,-0.07,0.13,9.94,0.01,0.00,-0.00,
13.21,-0.06,0.11,9.95,0.01,-0.00,-0.00,
13.22,-0.05,0.11,9.95,0.01,0.00,-0.00,
13.23,-0.07,0.10,9.94,0.01,-0.00,-0.00,
13.24,-0.08,0.11,9.93,0.01,-0.00,-0.00,
13.25,-0.07,0.12,9.96,0.01,0.00,-0.00,
13.26,-0.07,0.14,9.95,0.01,0.00,-0.00,
13.27,-0.06,0.11,9.95,0.01,0.00,-0.00,
13.28,-0.04,0.13,9.95,0.01,0.00,-0.00,
13.29,-0.09,0.13,9.94,0.01,0.00,-0.00,
13.30,-0.08,0.11,9.95,0.01,0.00,-0.00,
13.31,-0.06,0.11,9.95,0.01,0.00,-0.00,
13.32,-0.06,0.12,9.95,0.01,0.00,-0.00,
13.33,-0.07,0.12,9.97,0.01,0.00,-0.00,
13.34,-0.07,0.13,9.95,0.01,0.00,-0.00,
13.35,-0.06,0.11,10.00,0.01,0.00,-0.00,
13.36,-0.08,0.13,9.96,0.01,0.00,-0.00,
13.37,-0.07,0.13,9.96,0.01,0.00,-0.00,
13.38,-0.07,0.13,9.95,0.01,0.00,-0.00,
13.39,-0.08,0.13,9.96,0.01,0.00,-0.00,
13.40,-0.07,0.12,9.93,0.01,0.00,-0.00,
13.41,-0.08,0.13,9.94,0.01,0.00,-0.00,
13.42,-0.08,0.11,9.94,0.01,0.00,-0.00,
13.43,-0.09,0.11,9.98,0.01,0.00,-0.00,
13.44,-0.06,0.12,9.94,0.01,0.00,-0.00,
13.45,-0.06,0.12,9.97,0.01,0.00,-0.00,
13.46,-0.06,0.11,9.99,0.01,0.00,-0.00,
13.47,-0.08,0.14,9.97,0.01,0.00,-0.00,
13.48,-0.08,0.11,9.93,0.01,0.00,-0.00,
13.49,-0.10,0.13,9.95,0.01,0.00,-0.00,
13.50,-0.08,0.13,9.96,0.01,0.00,-0.00,
13.51,-0.07,0.12,9.97,0.01,0.00,-0.00,
13.52,-0.07,0.12,9.94,0.01,0.00,-0.00,
13.53,-0.08,0.12,9.95,0.01,0.00,-0.00,
13.54,-0.05,0.12,9.96,0.01,0.00,-0.00,
13.55,-0.06,0.12,9.95,0.01,0.00,-0.00,
13.56,-0.06,0.13,9.96,0.01,0.00,-0.00,
13.57,-0.06,0.12,9.97,0.01,0.00,-0.00,
13.58,-0.08,0.12,9.96,0.01,0.00,-0.00,
13.59,-0.06,0.10,9.96,0.01,0.00,-0.00,
13.60,-0.07,0.13,9.95,0.01,-0.00,-0.00,
13.61,-0.06,0.13,9.95,0.01,0.00,-0.00,
13.62,-0.06,0.11,9.93,0.01,0.00,-0.00,
13.63,-0.06,0.11,9.96,0.01,-0.00,-0.00,
13.64,-0.06,0.11,9.93,0.01,-0.00,0.00,
13.65,-0.11,0.13,9.98,0.01,0.00,-0.00,
13.66,-0.06,0.13,9.95,0.01,0.00,-0.00,
13.67,-0.08,0.11,9.96,0.01,0.00,-0.00,
13.68,-0.08,0.11,9.95,0.01,0.00,-0.00,
13.69,-0.07,0.12,9.97,0.01,0.00,-0.00,
13.70,-0.06,0.13,9.94,0.01,-0.00,-0.00,
13.71,-0.05,0.11,9.93,0.01,0.00,-0.00,
13.72,-0.06,0.11,9.93,0.01,-0.00,-0.00,
13.73,-0.09,0.11,9.94,0.01,0.00,-0.00,
13.74,-0.08,0.12,9.94,0.01,0.00,-0.00,
13.75,-0.07,0.13,9.95,0.01,0.00,-0.00,
13.76,-0.07,0.12,9.95,0.01,0.00,-0.00,
13.77,-0.06,0.13,9.93,0.01,0.00,-0.00,
13.78,-0.06,0.12,9.96,0.01,0.00,-0.00,
13.79,-0.08,0.11,9.95,0.01,0.00,-0.00,
